0	39560048
1	33217084
、	30116160
2	22420547
9	14406864
3	13464923
-	12811791
5	11959279
；	11526887
品	10797423
6	10243806
4	9984756
业	9625220
经	9310565
7	9022522
8	8767640
务	8111444
营	7800286
公	7667545
工	7539463
市	7351893
人	7291369
有	7171855
，	6844475
的	6823223
司	6335155
产	6268324
限	6147422
号	5696227
售	5670229
可	5634414
设	5628726
(	5624901
)	5550710
服	5455672
电	5428467
机	5298421
（	5176985
）	5153690
区	5054927
发	5029226
销	4938687
万	4888572
批	4705338
。	4404471
许	4243015
元	4222486
证	4196978
用	4130981
装	4100911
及	4033441
理	4029023
技	3957359
法	3828187
民	3777981
备	3614765
术	3604773
材	3582975
路	3569838
制	3470875
生	3470334
化	3450717
开	3406857
程	3360984
南	3221638
项	3206999
建	3197198
金	3131044
币	3112234
代	3033614
准	3025751
料	2980768
目	2959354
东	2870316
安	2828280
A	2824236
关	2733255
企	2697587
西	2662902
M	2615265
动	2613709
计	2543937
国	2527949
件	2527835
器	2504536
询	2477929
咨	2471635
中	2469123
门	2468321
方	2452182
海	2444049
管	2436160
展	2375165
定	2346937
资	2344008
地	2341179
北	2330930
名	2309257
州	2275018
商	2270532
信	2261067
山	2208691
不	2168069
县	2160368
日	2067228
成	2051663
家	2033721
物	2022673
江	2004064
大	1998272
省	1986650
：	1967851
镇	1958692
部	1914448
械	1906923
期	1902422
广	1863058
上	1843037
保	1831161
类	1829085
称	1826128
和	1818432
活	1814325
新	1778014
内	1762676
车	1724127
后	1713376
子	1700937
筑	1678124
相	1664810
农	1654004
水	1646042
村	1626536
零	1621057
种	1588029
文	1580476
通	1555595
道	1555586
体	1550639
房	1530405
货	1512135
阳	1478121
口	1472988
五	1468441
照	1451179
责	1449443
含	1448197
依	1447481
作	1434246
一	1425666
配	1401270
,	1400609
构	1397259
林	1394053
表	1393646
城	1391130
食	1373179
出	1366119
外	1360928
办	1360673
疗	1356859
;	1350647
须	1318952
个	1316216
饰	1285325
街	1269700
交	1264204
河	1251457
京	1243633
加	1234823
具	1233925
息	1228077
室	1221042
合	1217223
址	1212596
包	1207117
宁	1196480
险	1185646
主	1180688
社	1174138
织	1168295
场	1166691
组	1156155
楼	1146712
贸	1140191
汽	1127058
X	1119346
园	1117424
天	1114694
算	1111057
修	1109916
运	1104515
行	1103114
施	1100306
单	1099717
自	1095416
明	1093325
效	1089240
会	1078123
范	1072445
造	1052534
专	1044152
规	1040393
执	1036684
学	1036179
围	1035731
网	1018127
华	1000569
进	995751
本	990631
科	986244
除	936488
维	928054
医	926327
户	917964
政	914029
石	911603
式	903653
易	895437
投	872863
分	869100
收	865475
注	865175
艺	856287
质	855379
与	854168
湖	834096
特	833485
册	832718
负	831672
所	825550
员	819088
其	818878
庆	807614
百	805708
型	803127
策	788236
养	780319
划	778572
植	777034
龙	769073
事	761426
属	760017
租	757955
木	757486
三	755800
监	755104
软	753924
药	751428
油	750795
济	748143
记	727199
仪	725791
以	723914
审	723048
任	717724
B	712439
小	704609
位	704472
平	701564
码	699154
C	697899
他	689489
登	687746
防	686765
或	683031
D	677084
长	673825
层	672897
编	667592
二	655860
诊	653724
赁	651201
福	650413
告	649494
贵	647396
得	641150
钢	638494
T	638021
兴	636485
津	636395
云	627107
集	626304
重	624273
E	623765
输	623754
L	622679
四	621267
常	617963
危	606336
川	605336
能	604117
饮	602489
花	594646
原	594600
P	594509
书	591061
G	588211
育	587844
高	582780
N	581855
卫	580056
供	577748
流	577378
吉	576911
从	573268
厦	569189
承	564949
银	563019
购	560661
H	560087
在	559667
张	553339
殖	549353
U	546081
系	545440
者	542155
K	540535
Y	538265
布	535892
环	534409
王	530813
实	526449
塑	522383
F	518646
青	517036
.	516841
律	515279
源	515248
院	514763
古	514046
统	513717
独	513496
量	510933
*	507953
W	507475
都	503931
督	503716
餐	503179
为	502292
R	500856
幢	499460
店	497264
J	494448
乡	488465
无	486416
线	481390
Q	479645
消	477959
台	477722
份	477621
库	475578
美	473976
络	473023
土	472838
研	472061
兼	469138
劳	468687
徽	462083
应	459804
副	453962
苏	453243
肥	453222
纺	450899
别	449220
连	447840
需	446805
绿	439149
治	438697
力	436402
李	435513
辽	433920
利	433441
报	433302
武	429885
是	426282
尔	426037
德	425323
仓	425257
光	421894
形	420351
清	419419
毒	413844
莞	412604
蒙	412566
姓	411909
临	410060
处	401975
昌	401266
验	401013
果	400719
陕	399353
预	397465
联	396588
性	392878
浙	391723
第	390933
凭	390368
宝	388673
基	388422
气	387799
兰	384315
游	383617
矿	383414
话	381733
转	381280
健	377342
至	375979
桥	370832
止	368621
春	366038
屋	365894
甘	365416
数	363897
讯	363328
字	363065
鞋	361777
款	359952
丰	359073
面	358483
年	357286
检	357009
禁	355358
酒	355041
旅	352413
滨	351276
让	350720
住	348937
储	348474
培	348290
各	348259
提	347814
厂	347178
太	347136
般	343743
立	343590
黄	343290
身	342770
股	340840
护	339358
乐	339085
普	338874
庄	338126
结	337036
控	335157
栋	331532
际	330766
心	330401
康	328520
乌	323421
里	323420
刘	322541
融	322011
决	319963
达	316918
永	316737
了	314640
览	312755
沙	309339
肃	309281
训	307800
针	307065
帽	306472
教	306243
示	305538
汇	304679
等	303726
态	303119
马	302843
汉	302167
说	300924
共	300032
调	299984
前	296319
陈	296045
下	294296
接	292163
对	291710
红	290745
同	290511
苗	289416
税	289379
辅	288740
推	287045
据	286633
支	285292
疆	284091
剂	283453
玉	282107
委	280881
议	280246
硬	279203
邮	274898
传	274470
杨	273433
景	273347
全	273331
改	271802
胶	271234
手	271177
菜	270167
烟	269366
头	267014
黑	265456
妆	265426
象	265349
印	265016
夏	263320
藏	262789
义	260334
铁	259227
泉	258692
白	255537
哈	253663
“	253049
蔬	252394
军	251167
星	250562
助	250428
嘉	248733
洁	248436
托	248124
取	244658
券	244460
冷	243208
族	242293
站	241912
来	240576
港	239503
顺	239286
图	238146
泰	237124
团	236820
九	234120
润	234017
:	233712
空	232297
诉	232185
朝	232057
箱	231788
财	231647
存	230833
创	230483
签	230122
智	229388
礼	227111
纪	226530
未	225964
举	224220
月	223011
温	222946
”	221496
田	221435
时	219898
六	218341
府	218004
浦	215402
煤	215205
多	215140
侧	213878
影	213483
缆	212693
周	212139
现	209833
之	209470
脑	209251
昆	208819
颁	208603
十	208118
容	207259
鑫	206829
级	205298
标	204130
潢	204040
采	203967
盛	203860
峰	202997
橡	202444
丽	201669
这	201005
居	200449
灯	198326
段	197626
齐	196057
试	194713
票	193765
波	192172
畜	192085
压	190989
选	190070
节	190002
非	189593
世	189496
富	189408
测	188352
总	187175
亚	187121
视	186220
要	185789
溪	185402
乳	184738
松	184309
当	184177
纸	183739
双	183541
付	182622
粉	182035
互	181849
列	181491
座	181429
于	181234
博	179644
正	179558
杂	179247
凤	179046
到	177635
涉	177005
米	176706
置	176596
鲁	176590
暖	175585
介	175361
吴	175340
板	175005
拉	174271
洗	174135
客	174056
志	173646
皮	172917
间	172227
查	172049
我	171681
观	171387
郑	171040
伟	170270
音	169917
丹	169170
e	169090
强	167618
粮	167381
珠	167289
固	166590
意	165581
风	165222
梁	164655
宜	164450
牛	164450
权	164122
沈	163574
买	163054
【	162985
综	162906
础	162864
佳	162689
宏	162642
入	162601
饲	162322
领	161863
瑞	161636
】	161421
茶	159669
域	159588
众	158994
深	158650
过	157186
炭	157137
卉	157058
铺	156831
禽	156651
择	156565
岛	155549
债	155187
树	154645
斯	154057
境	153266
徐	153039
宇	152446
卡	151875
模	151465
滑	150945
浩	150895
克	150691
牌	150323
苑	150185
荣	149972
放	149498
散	149441
兑	149154
秀	148051
巴	147856
坊	147490
回	147325
岭	146761
儿	146542
唐	146229
湾	146176
然	145468
祥	145283
塘	144730
刷	144690
叶	144685
恒	144675
耗	144557
卖	144327
赵	143745
就	143671
贷	143158
首	143079
移	142911
草	142682
呼	142553
增	142078
胜	140667
I	140204
鸡	140152
套	139136
航	138289
威	137307
燃	137276
究	135956
点	135865
热	134703
演	133972
也	133185
泽	133175
英	133157
泥	133125
播	133083
色	132897
窗	132494
七	131811
们	131690
羊	131618
复	131109
值	128956
废	128865
引	128821
仁	128782
爆	127988
受	127695
向	127324
核	127234
辉	127187
锦	126645
送	125511
洪	125130
厨	125096
摄	124800
〓	124519
远	124210
t	123499
杭	123444
旗	122743
罗	122719
媒	122688
盘	122552
香	122327
延	122036
片	121937
岗	121811
玩	121412
玻	121236
素	121093
郭	121016
隆	120981
淀	120629
o	120221
坪	119794
洲	119498
璃	119243
陶	118774
火	118299
飞	118147
圳	117371
猪	117263
因	116928
竹	116322
版	115180
床	115135
再	115102
婴	114545
谷	114032
八	114031
按	113803
液	113711
惠	113647
孙	113567
老	113309
招	113264
忠	112692
晋	112262
沂	112146
附	111800
摩	111679
井	111468
精	110629
费	110550
宿	110336
超	109957
伊	109645
甲	109163
边	108852
梅	108334
牧	107905
格	107552
余	107254
贤	107192
而	106773
如	106666
思	106057
塔	105563
瓷	105556
沟	105337
洋	105029
革	104939
旧	104611
寿	104523
晓	104342
起	103683
凯	103400
黔	103037
桂	103037
钟	102994
担	102906
朱	102849
n	102659
饶	102223
铝	102191
好	101582
奉	101334
陵	99811
墙	99769
局	99370
良	99228
池	99052
杰	99046
益	98985
但	98890
打	98322
宾	98112
柳	97896
胡	97870
亮	97642
